inputtool,outputtools
trimmomatic,"sickle,cat1,mothur_make_contigs,bwa_wrapper,abyss-pe,__UNZIP_COLLECTION__,fastq_to_fasta_python,spades,stringtie,rna_star,fastq_stats,fastqc,tophat2,hisat,hisat2,bwa,prinseq,snippy,multiqc,fastp,trimmer,kraken2,CONVERTER_gz_to_uncompressed,shovill,segemehl,bg_sortmerna,tp_grep_tool,salmon,velvetg,trinity,cshl_fastq_to_fasta,bowtie_wrapper,metaphlan2,kallisto_quant,metaspades,trimmomatic,bismark_bowtie,humann2,flash,bismark_methylation_extractor,unicycler,trinity_align_and_estimate_abundance,__ZIP_COLLECTION__,fastq_groomer,velvetoptimiser,fastq_trimmer,trim_galore,microsat_pal_finder,bismark_bowtie2,bowtie2,cshl_fastx_artifacts_filter,bwa_mem,cutadapt"
hisat2,"cuffdiff,samtool_filter2,seq_filter_by_mapping,custom_pro_db,rseqc_read_duplication,samtools_flagstat,picard_MarkDuplicates,stringtie,fastqc,cufflinks,htseq_count,express,samtools_mpileup,sam_merge2,qualimap_bamqc,rseqc_bam_stat,PicardASMetrics,jbrowse,cuffquant,rseqc_inner_distance,samtools_sort,je_markdupes,samtools_stats,picard_CollectInsertSizeMetrics,picard_CollectRnaSeqMetrics,multiqc,picard_MarkDuplicatesWithMateCigar,rseqc_geneBody_coverage,bedtools_genomecoveragebed,macs2_callpeak,rseqc_read_distribution,samtools_slice_bam,trinity,samtools_view,qualimap_rnaseq,picard_CASM,ococo,freebayes,lastz_wrapper_2,samtools_rmdup,bam_to_bigwig,dexseq_count,picard_QualityScoreDistribution,bam_to_sam,deeptools_bam_coverage,featurecounts,bamFilter,samtools_filter,cuffnorm,rseqc_bam2wig,pilon,extract_aln_ends.py,samtools_idxstats,ngsutils_bam_filter,rseqc_infer_experiment,rseqc_junction_annotation,picard_MergeSamFiles,pipmir"
samtools_idxstats,"tp_cut_tool,Grep1,multiqc,tp_grep_tool"
Grep1,"snpEff,cat1,comp1,Paste1,regionalgam_ab_index,Convert characters1,Univariate,random_lines1,gops_intersect_1,tp_replace_in_column,tp_cut_tool,regex_replace,circgraph,cardinal_filtering,tp_cat,__FLATTEN__,tp_replace_in_line,Remove beginning1,collapse_dataset,Add_a_column1,gops_concat_1,wc_gnu,join_files_on_column_fuzzy,cardinal_mz_images,Filter1,datamash_transpose,XY_Plot_1,collection_column_join,regex1,addValue,datamash_ops,Cut1,trimmer,tab2fasta,Grouping1,seq_filter_by_id,sort1,query_tabular,cardinal_classification,regionalgam_flight_curve,Count1,computeMatrix,tp_easyjoin_tool,circos,tp_find_and_replace,tp_sort_header_tool,tabular_to_fastq,sam_to_bam,cardinal_quality_report,join1,sam_bw_filter,cardinal_spectra_plots,gops_join_1,maldi_quant_peak_detection,filter_by_fasta_ids"
__FLATTEN__,"ete_homology_classifier,collapse_dataset,maxbin2,bwa,deeptools_multi_bigwig_summary,nspdk_sparse,dexseq_annotate,multiqc,deeptools_multi_bam_summary,fastqc,__MERGE_COLLECTION__,kraken2"
collapse_dataset,"mothur_corr_axes,fasterq_dump,comp1,Convert characters1,rbc_mafft,random_lines1,fastqc,openbabel_filter,mothur_get_communitytype,structure_to_gspan,hisat2,split_file_to_collection,bedtools_intersectbed,Filter1,XY_Plot_1,__RELABEL_FROM_FILE__,seqtk_sample,multiqc,datamash_ops,Cut1,mothur_venn,rdock_sort_filter,bg_uniq,tp_grep_tool,metaspades,mothur_classify_rf,mothur_lefse,trimmomatic,mothur_metastats,tp_easyjoin_tool,unicycler,minimap2,fastq_paired_end_joiner,xchem_pose_scoring,stringtie_merge,join1,bwa_mem"
join1,"cat1,get_flanks1,comp1,gops_intersect_1,cshl_word_list_grep,tp_cut_tool,regex_replace,tp_cat,Add_a_column1,wc_gnu,goseq,bedtools_intersectbed,Filter1,addValue,r_correlation_matrix,Cut1,trimmer,Grouping1,column_remove_by_header,bg_column_arrange_by_header,sort1,tp_sorted_uniq,Count1,ggplot2_heatmap2,bg_statistical_hypothesis_testing,cshl_sort_header,tp_sort_header_tool,cshl_awk_replace_in_column"
Cut1,"Convert characters1,tp_awk_tool,random_lines1,MassCalculator,hicexplorer_hicplottads,tp_cut_tool,bedtools_mergebed,collapse_dataset,get_feature_info,wc_gnu,ggplot_histogram,join_files_on_column_fuzzy,bedtools_sortbed,ggplot_point,deeptools_computeMatrix,datamash_transpose,annotatemyids,venn_list,pathview,tab2fasta,umi_tools_extract,tp_sorted_uniq,scatterplot_rpy,Show beginning1,computeMatrix,hgv_david,stacks_denovomap,dexseq_count,Extract genomic DNA 1,CONVERTER_bedgraph_to_bigwig,heinz_bum,map_peptides_to_bed,stacks_populations,get_flanks1,Paste1,addName,CONVERTER_interval_to_bgzip_0,table_compute,deseq2,regex_replace,bedtools_intersectbed_bam,deseq2_single,cardinal_filtering,Remove beginning1,ggplot2_point,Add_a_column1,CONVERTER_interval_to_bed_0,bedtools_intersectbed,collection_column_join,XY_Plot_1,picard_FilterSamReads,r_correlation_matrix,trimmer,tp_split_on_column,clusterprofiler_bitr,taxonomy_krona_chart,uniprot,openbabel_remIons,regexColumn1,query_tabular,deeptools_compute_matrix,Count1,seqtk_subseq,tp_sort_header_tool,cshl_sort_header,stringtie_merge,__TAG_FROM_FILE__,bedtools_genomecoveragebed_bedgraph,gtf_filter_by_attribute_values_list,checkFormat,comp1,cor2,cshl_word_list_grep,Grep1,plotly_ml_performance_plots,sklearn_ensemble,cshl_find_and_replace,Summary_Statistics1,tp_tac,tp_unfold_column_tool,datamash_ops,bg_uniq,tp_sed_tool,mass_spectrometry_imaging_ion_images,wig_to_bigWig,tp_grep_tool,sort1,get_sequences,ncbi_acc_download,cshl_uniq_tool,circos,featurecounts,pygenomeTracks,tp_multijoin_tool,join1,cat1,gops_intersect_1,tp_replace_in_column,methtools_dmr,barchart_gnuplot,egsea,tp_cat,tp_replace_in_line,tp_head_tool,methtools_filter,DatamashOps,goseq,Filter1,regex1,addValue,bedtools_slopbed,w4mclassfilter,Grouping1,Krona,heinz_scoring,Show tail1,ChangeCase,ggplot2_heatmap2,heatmapper,tp_easyjoin_tool,methtools_destrand,annotateMyIDs,tp_tail_tool,mergeCols1,gops_join_1"
Filter1,"smooth_running_window,Convert characters1,random_lines1,tp_cut_tool,bedtools_mergebed,deg_annotate,collapse_dataset,wc_gnu,join_files_on_column_fuzzy,bedtools_sortbed,deeptools_computeMatrix,datamash_transpose,annotatemyids,venn_list,pathview,tp_sorted_uniq,stoceps_glm,snpSift_rmInfo,Show beginning1,hgv_david,dexseq_count,Extract genomic DNA 1,Interval_Maf_Merged_Fasta2,CONVERTER_bed_gff_or_vcf_to_bigwig_0,transpose,snpEff,get_flanks1,Paste1,gdal_ogr2ogr,bedtools_intersectbed_bam,cardinal_filtering,vegan_rarefaction,Remove beginning1,Add_a_column1,table_annovar,bedtools_intersectbed,XY_Plot_1,collection_column_join,trimmer,deeptools_compute_matrix,Count1,charts,tp_sort_header_tool,diapysef,cshl_sort_header,tp_find_and_replace,tabular_to_fastq,bedtools_coveragebed,cardinal_spectra_plots,gtf_filter_by_attribute_values_list,comp1,snpSift_filter,Extract_features1,ggplot2_heatmap,cardinal_combine,cshl_word_list_grep,Grep1,htseq_count,stoceps_trend_indic,goenrichment,jbrowse,Summary_Statistics1,datamash_ops,aggregate_scores_in_intervals2,column_remove_by_header,wig_to_bigWig,trinity,sort1,dexseq_annotate,tabular_to_csv,featurecounts,bedtools_subtractbed,tp_multijoin_tool,join1,volcanoplot,cat1,hgv_snpFreq,naive_variant_caller,gops_intersect_1,samtools_flagstat,tp_replace_in_column,bcftools_norm,tp_cat,tp_head_tool,tp_replace_in_line,DatamashOps,vcfbedintersect,cardinal_mz_images,addValue,histogram_rpy,Cut1,Fetch Taxonomic Ranks,Grouping1,Show tail1,bedtools_getfastabed,ChangeCase,ggplot2_heatmap2,heatmapper,tp_easyjoin_tool,chipseeker,tp_tail_tool,vegan_diversity,mergeCols1,gops_join_1"
comp1,"cat1,Convert characters1,tp_awk_tool,gops_intersect_1,tp_cut_tool,deseq2,tp_cat,Add_a_column1,wc_gnu,CONVERTER_interval_to_bedstrict_0,addValue,Cut1,bg_uniq,pileup_parser,tab2fasta,sort1,Count1,hgv_david,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,tp_uniq_tool,join1"
csv_to_tabular,"Remove beginning1, datamash_ops,tp_easyjoin_tool,collapse_dataset,cat1,Paste1,tp_awk_tool,datamash_transpose,addValue,tp_cat"
